url,title,place,date
https://www.sympla.com.br/evento/samba-de-milhoes-rio-revelacao/2941257,Samba de Milhões |Rio!|REVELAÇÃO,"Parque de Exposições João Alencar de Athayde - Montes Claros, MG",16 de Ago às 18:00
https://bileto.sympla.com.br/event/109058,KANG DANIEL em SÃO PAULO - ACT: NEW EPISODE 2025 LATAM TOUR,"Cine Joia - São Paulo, SP",28 de Set às 20:30
https://www.sympla.com.br/evento/rayo-wekeend-livinho-sabado/3038576,RAYO WEKEEND // LIVINHO // SÁBADO,"URB STAGE - Porto Alegre, RS",23 de Ago às 23:00
https://www.sympla.com.br/evento/quintal-dos-prettos/3061633,QUINTAL DOS PRETTOS,"Vila Maria Zelia - São Paulo, SP",07 de Set às 14:00
https://bileto.sympla.com.br/event/108196,A GRANDE RODA - CLUBE DO SAMBA,"Cidade das Artes - Rio de Janeiro, RJ",17 de Ago às 16:00
https://www.sympla.com.br/evento/sueno-the-assembly-of-villains/3063291,SUEÑO - The Assembly of Villains,"KOMPLEXO TEMPO - São Paulo, SP",04 de Out às 22:00
https://www.sympla.com.br/evento/nav-movimento-cidade-attooxxa-irmas-de-pau-valesca-popozuda-carlos-do-complexo-mug/3028889,"NAV | Movimento Cidade |Àttooxxá, Irmãs de Pau, Valesca Popozuda, Carlos do Complexo | MUG","ARC Mocidade Unida da Glória - MUG - Vila Velha, ES",15 de Ago às 23:00
https://bileto.sympla.com.br/event/109128,PAGODE 90 DO OPINIÃO - 23/08/25,"Opinião Bar - Porto Alegre, RS",23 de Ago às 23:00
https://bileto.sympla.com.br/event/109316,Roberta Sá - Tudo que cantei sou,"Teatro do Parque - Recife, PE",27 de Set às 20:00
https://bileto.sympla.com.br/event/108608,:: GERAÇÃO COCA-COLA :: BAR OPINIÃO :: 20/09/25 ::,"Opinião Bar - Porto Alegre, RS",20 de Set às 23:00
https://www.sympla.com.br/evento/the-roof-the-last-dance/3029078,The Roof - The Last Dance,"Espaço Solaris - Nova Lima, MG",23 de Ago às 15:00
https://bileto.sympla.com.br/event/108699,Chico César - Aos Vivos,"Casa Natura Musical - São Paulo, SP",27 de Set às 21:00
https://www.sympla.com.br/evento/quintal-dos-prettos/3024111,QUINTAL DOS PRETTOS,"ESPORTE CLUBE BEIRA MAR - São Vicente, SP",17 de Ago às 14:00
https://www.sympla.com.br/evento/buteco-do-fila-com-dilsinho-e-mumuzinho/3028527,BUTECO DO FILA COM DILSINHO E MUMUZINHO,"Sociedade Recreativa Filadélfia - Governador Valadares, MG",20 de Set às 14:00
https://bileto.sympla.com.br/event/103490,ZCL Turnê 2025,"Centro Esportivo SESI - Caxias do Sul, RS",03 de Out às 21:00
https://www.sympla.com.br/evento/after-d-a-outra-banda-da-lua/3065234,After d'A Outra Banda da Lua,"Vichi Maria - Sabores & Momentos - Montes Claros, MG",15 de Ago às 23:00
https://bileto.sympla.com.br/event/104390,Bee Gees Alive - Aracaju/SE,"Teatro Tobias Barreto - Aracaju, SE",17 de Ago às 20:00
https://bileto.sympla.com.br/event/108742,CATTO - Caminhos Selvagens,"Casa Natura Musical - São Paulo, SP",29 de Ago às 21:00
https://www.sympla.com.br/evento/festa-flow-apresenta-tour-nssmnsb/3040152,Festa Flow apresenta tour NSSMNSB,"TeRRAZZO367 - Belo Horizonte, MG",20 de Set às 20:00
https://www.sympla.com.br/evento/tonica-7-anos-concha-acustica/3009603,Tônica 7 Anos | Concha Acústica,"Concha Acústica - Brasília, DF",30 de Ago às 15:00
https://www.sympla.com.br/evento/privadinho-o-baile/3059321,PRIVADINHO O BAILE,"Barril Tap Bar  - Linhares, ES",13 de Set às 21:00
https://bileto.sympla.com.br/event/108197,Ebony – KM2,"Casa Natura Musical - São Paulo, SP",
https://www.sympla.com.br/evento/pagode-do-queijao-16-08/3055279,Pagode do Queijão - 16/08,"R. Istambul, 333 - Belo Horizonte, MG",16 de Ago às 14:00
https://bileto.sympla.com.br/event/108194,Star Beatles - International Beatles Tribute,"Teatro Municipal Braz Cubas - Santos, SP",24 de Ago às 20:30
https://bileto.sympla.com.br/event/107226, João Bosco - Turnê 'Boca Cheia de Frutas”,"Pupileira - Salvador, BA",15 de Ago às 21:30
