artist,url,location,date
DVAR - DO VENTRE A RAIZ,https://www.eventim.com.br/event/dvar-do-ventre-a-raiz-palacio-das-artes-20381399/,Belo Horizonte,"sáb. 26/07/2025, 20:00"
DVAR - DO VENTRE A RAIZ,https://www.eventim.com.br/event/dvar-do-ventre-a-raiz-palacio-das-artes-20381400/,Belo Horizonte,"dom. 27/07/2025, 19:00"
MARIO SERGIO CORTELLA & TEREZINHA RIOS,https://www.eventim.com.br/event/mario-sergio-cortella-terezinha-rios-teatro-casa-grande-20410732/,Rio de Janeiro,"ter. 30/09/2025, 20:00"
"BOB ZOOM EM “A MAGIA DO NATAL""",https://www.eventim.com.br/event/bob-zoom-em-a-magia-do-natal-teatro-j-safra-20330771/,São Paulo,"qui. 20/11/2025, 11:00"
PROJETO DOMINGO NO TEATRO SOPRO CIA. DE DANÇA APRESENTA “FILHAS”,https://www.eventim.com.br/event/projeto-domingo-no-teatro-sopro-cia-de-danca-apresenta-filhas-teatro-j-safra-20301946/,São Paulo,"dom. 27/07/2025, 11:00"
"CIA PAULISTA DE DANÇA APRESENTA “IDIOSSINCRASIA""",https://www.eventim.com.br/event/cia-paulista-de-danca-apresenta-idiossincrasia-teatro-j-safra-20231363/,São Paulo,"sex. 12/09/2025, 20:30"
"CIA PAULISTA DE DANÇA APRESENTA “IDIOSSINCRASIA""",https://www.eventim.com.br/event/cia-paulista-de-danca-apresenta-idiossincrasia-teatro-j-safra-20231365/,São Paulo,"sáb. 13/09/2025, 16:00"
SÃO PAULO CIA. DE DANÇA EM - O LAGO DOS CISNES,https://www.eventim.com.br/event/sao-paulo-cia-de-danca-em-o-lago-dos-cisnes-palacio-das-artes-20302042/,Belo Horizonte,"sáb. 27/09/2025, 15:30"
SÃO PAULO CIA. DE DANÇA EM - O LAGO DOS CISNES,https://www.eventim.com.br/event/sao-paulo-cia-de-danca-em-o-lago-dos-cisnes-palacio-das-artes-20302386/,Belo Horizonte,"sáb. 27/09/2025, 20:30"
MARCO LUQUE: É DISSO QUE EU TÔ FALANDO!,https://www.eventim.com.br/event/marco-luque-e-disso-que-eu-to-falando-teatro-das-artes-20410731/,São Paulo,"qui. 07/08/2025, 20:00"
MARCO LUQUE: É DISSO QUE EU TÔ FALANDO!,https://www.eventim.com.br/event/marco-luque-e-disso-que-eu-to-falando-teatro-das-artes-20483837/,São Paulo,"qui. 11/09/2025, 20:00"
AULA SHOW COM VIVIANE MOSÉ: UM SIM À VIDA,https://www.eventim.com.br/event/aula-show-com-viviane-mose-um-sim-a-vida-bona-casa-de-musica-20474957/,São Paulo,"qui. 21/08/2025, 21:00"
BRUXAS DE SALEM,https://www.eventim.com.br/event/bruxas-de-salem-teatro-casa-grande-20443958/,Rio de Janeiro,"qui. 04/09/2025, 20:00"
BRUXAS DE SALEM,https://www.eventim.com.br/event/bruxas-de-salem-teatro-casa-grande-20444137/,Rio de Janeiro,"sex. 05/09/2025, 20:00"
